DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;;;;;;;;;;;;;;;;;;;;;;;
Topo¾èany;Topo¾èany;Topo¾èany;;;Pozri zoz.ulíc s PSÈ;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Topo¾èianky;Topo¾èianky;Zlaté Moravce;951 93;Topo¾èianky;Topo¾èianky;407;NI;;;;;;;;;;;;;;;;;;;;;;;
Topolecká;Topolecká;Nové Mesto n.Váhom;916 01;Stará Turá;Stará Turá;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Topo¾nica;Topo¾nica;Galanta;925 92;Kajal;Kajal;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Topo¾níky;Topo¾níky;Dunajská Streda;930 11;Topo¾níky;Topo¾níky;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Topo¾ovka;Topo¾ovka;Humenné;067 45;Topo¾ovka;Topo¾ovka;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Toporec;Toporec;Kemarok;059 95;Toporec;Toporec;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Torna¾a;Torna¾a;Revúca;982 01;Torna¾a;Torna¾a;608;BC;;;;;;;;;;;;;;;;;;;;;;;
Torysa;Torysa;Sabinov;082 76;Torysa;Torysa;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Torysky;Torysky;Levoèa;053 71;Vyšné Repaše;Vyšné Repaše;704;PV;;;;;;;;;;;;;;;;;;;;;;;
Tovarné;Tovarné;Vranov nad Top¾ou;094 01;Tovarné;Tovarné;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Tovarnianska Polianka;Tovarnian.Polianka;Vranov nad Top¾ou;094 01;Tovarné;Tovarné;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Tovarníky;Tovarníky;Topo¾èany;955 01;Topo¾èany 1;Topo¾èany 1;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Tôò;Tôò;Komárno;946 15;Tôò;Tôò;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Trakovice;Trakovice;Hlohovec;919 33;Trakovice;Trakovice;203;TA;;;;;;;;;;;;;;;;;;;;;;;
Trávnica;Trávnica;Nové Zámky;941 46;Trávnica;Trávnica;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Trávnik;Trávnik;Komárno;946 19;Èíèov;Èíèov;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Trebatice;Trebatice;Piešany;922 10;Trebatice;Trebatice;204;TA;;;;;;;;;;;;;;;;;;;;;;;
Trebejov;Trebejov;Košice - okolie;044 81;Kysak;Kysak;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Trebe¾ovce;Trebe¾ovce;Luèenec;985 31;Rapovce;Rapovce;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Trebichava;Trebichava;Bánovce nad Bebravou;956 53;Slatina nad Bebravou;Slatina nad Bebravou;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Trebišov;Trebišov;Trebišov;075 01;Trebišov 1;Trebišov 1;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Trebostovo;Trebostovo;Martin;038 41;Košany nad Turcom;Košany nad Turcom;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Trebušovce;Trebušovce;Ve¾kı Krtíš;991 27;Kamenné Kosihy;Kamenné Kosihy;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Trenè;Trenè;Luèenec;985 32;Ve¾ká nad Ip¾om;Ve¾ká nad Ip¾om;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Trenèianska Teplá;Trenèianska Teplá;Trenèín;914 01;Trenèianska Teplá;Trenèianska Teplá;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Trenèianska Turná;Trenèianska Turná;Trenèín;913 21;Trenèianska Turná;Trenèianska Turná;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Trenèianske Bohuslavice;Trenè.Bohuslavice;Nové Mesto n.Váhom;913 07;Bošáca;Bošáca;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Trenèianske Jastrabie;Trenè.Jastrabie;Trenèín;913 22;Trenèianske Jastrabie;Trenè.Jastrabie;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Trenèianske Mitice;Trenèianske Mitice;Trenèín;913 22;Trenèianske Jastrabie;Trenè.Jastrabie;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Trenèianske Stankovce;Trenè.Stankovce;Trenèín;913 11;Trenèianske Stankovce;Trenè.Stankovce;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Trenèianske Teplice;Trenèianske Teplice;Trenèín;914 51;Trenèianske Teplice;Trenèianske Teplice;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Trenèín;Trenèín;Trenèín;;;Pozri zoz.ulíc s PSÈ;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Trhová Hradská;Trhová Hradská;Dunajská Streda;930 13;Trhová Hradská;Trhová Hradská;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Trhovište;Trhovište;Michalovce;072 04;Trhovište;Trhovište;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Trnava;Trnava;Trnava;;;Pozri zoz.ulíc s PSÈ;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Trnavá Hora;Trnavá Hora;iar nad Hronom;966 11;Trnavá Hora;Trnavá Hora;613;BC;;;;;;;;;;;;;;;;;;;;;;;
Trnava pri Laborci;Trnava pri Laborci;Michalovce;072 31;Vinné;Vinné;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Trnávka;Trnávka;Dunajská Streda;930 32;Blatná na Ostrove;Blatná na Ostrove;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Trnávka;Trnávka;Trebišov;078 01;Seèovce;Seèovce;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Tànie;Tànie;Zvolen;962 34;Budèa;Budèa;611;BC;;;;;;;;;;;;;;;;;;;;;;;
Trnkov;Trnkov;Prešov;082 12;Kapušany pri Prešove;Kapušany pri Prešove;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Trnovec;Trnovec;Skalica;908 51;Holíè 1;Holíè 1;206;TA;;;;;;;;;;;;;;;;;;;;;;;
Trnovec nad Váhom;Trnovec nad Váhom;Ša¾a;925 71;Trnovec nad Váhom;Trnovec nad Váhom;405;NI;;;;;;;;;;;;;;;;;;;;;;;
Trnovo;Trnovo;Martin;038 41;Košany nad Turcom;Košany nad Turcom;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Troèany;Troèany;Bardejov;086 41;Raslavice;Raslavice;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Trpín;Trpín;Krupina;962 44;Litava na Slovensku;Litava na Slovensku;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Trsany;Trsany;Košice - okolie;044 45;Bidovce;Bidovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Trstená;Trstená;Tvrdošín;028 01;Trstená;Trstená;510;ZI;;;;;;;;;;;;;;;;;;;;;;;
Trstená na Ostrove;Trstená na Ostrove;Dunajská Streda;930 04;Baka;Baka;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Trstené;Trstené;Liptovskı Mikuláš;032 21;Bobrovec;Bobrovec;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Trstené pri Hornáde;Trstené pri Hornáde;Košice - okolie;044 11;daòa;daòa;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Trstice;Trstice;Galanta;925 42;Trstice;Trstice;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Trstín;Trstín;Trnava;919 05;Trstín;Trstín;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Tuhár;Tuhár;Luèenec;985 12;Tuhár;Tuhár;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Tuhrina;Tuhrina;Prešov;082 07;Tuhrina;Tuhrina;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Tuchyòa;Tuchyòa;Ilava;018 55;Tuchyòa;Tuchyòa;302;TC;;;;;;;;;;;;;;;;;;;;;;;
Tulèík;Tulèík;Prešov;082 13;Tulèík;Tulèík;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Tupá;Tupá;Levice;935 84;Horné Semerovce;Horné Semerovce;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Turá;Turá;Levice;935 51;Tekovskı Hrádok;Tekovskı Hrádok;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Turany;Turany;Martin;038 53;Turany nad Váhom;Turany nad Váhom;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Turany nad Ondavou;Turany nad Ondavou;Stropkov;090 33;Turany nad Ondavou;Turany nad Ondavou;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Turcovce;Turcovce;Humenné;067 23;Baškovce pri Humennom;Baškovce pri Humen.;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Turèek;Turèek;Turèianske Teplice;038 48;Horná Štubòa;Horná Štubòa;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Turèianky;Turèianky;Partizánske;958 44;Klátova Nová Ves;Klátova Nová Ves;305;TC;;;;;;;;;;;;;;;;;;;;;;;
Turèianska Štiavnièka;Turè.Štiavnièka;Martin;038 51;Suèany;Suèany;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Turèianske Jaseno;Turèianske Jaseno;Martin;038 02;Drakovce pri Martine;Drakovce pri Mart.;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Turèianske K¾aèany;Turèianske K¾aèany;Martin;038 61;Vrútky;Vrútky;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Turèianske Teplice;Turèianske Teplice;Turèianske Teplice;039 01;Turèianske Teplice;Turèianske Teplice;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Turèiansky Ïur;Turèiansky Ïur;Martin;038 43;Kláštor pod Znievom;Kláštor pod Znievom;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Turèiansky Peter;Turèiansky Peter;Martin;038 41;Košany nad Turcom;Košany nad Turcom;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Turèok;Turèok;Revúca;049 18;Lubeník;Lubeník;608;BC;;;;;;;;;;;;;;;;;;;;;;;
Turecká;Turecká;Banská Bystrica;976 02;Staré Hory;Staré Hory;601;BC;;;;;;;;;;;;;;;;;;;;;;;
Tureò;Tureò;Senec;903 01;Senec;Senec;108;BL;;;;;;;;;;;;;;;;;;;;;;;
Turie;Turie;ilina;013 12;Turie;Turie;511;ZI;;;;;;;;;;;;;;;;;;;;;;;
Turík;Turík;Ruomberok;034 83;Liptovská Teplá;Liptovská Teplá;508;ZI;;;;;;;;;;;;;;;;;;;;;;;
Turòa nad Bodvou;Turòa nad Bodvou;Košice - okolie;044 02;Turòa nad Bodvou;Turòa nad Bodvou;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Turnianska Nová Ves;Turnianska Nová Ves;Košice - okolie;044 02;Turòa nad Bodvou;Turòa nad Bodvou;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Turová;Turová;Zvolen;962 34;Budèa;Budèa;611;BC;;;;;;;;;;;;;;;;;;;;;;;
Turzovka;Turzovka;Èadca;023 54;Turzovka;Turzovka;502;ZI;;;;;;;;;;;;;;;;;;;;;;;
Tušice;Tušice;Michalovce;072 02;Tušická Nová Ves;Tušická Nová Ves;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Tušická Nová Ves;Tušická Nová Ves;Michalovce;072 02;Tušická Nová Ves;Tušická Nová Ves;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Tuina;Tuina;Prievidza;972 14;Tuina;Tuina;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Tvaroná;Tvaroná;Kemarok;059 71;¼ubica;¼ubica;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Tvrdomestice;Tvrdomestice;Topo¾èany;956 22;Prašice;Prašice;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Tvrdošín;Tvrdošín;Tvrdošín;027 44;Tvrdošín 1;Tvrdošín 1;510;ZI;;;;;;;;;;;;;;;;;;;;;;;
Tvrdošovce;Tvrdošovce;Nové Zámky;941 10;Tvrdošovce;Tvrdošovce;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Ub¾a;Ub¾a;Snina;067 73;Ub¾a;Ub¾a;709;PV;;;;;;;;;;;;;;;;;;;;;;;
Úbre;Úbre;Sobrance;072 42;Úbre;Úbre;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Udavské;Udavské;Humenné;067 31;Udavské;Udavské;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Udièa;Udièa;Povaská Bystrica;018 01;Udièa;Udièa;306;TC;;;;;;;;;;;;;;;;;;;;;;;
Údol;Údol;Stará ¼ubovòa;065 45;Plavnica;Plavnica;710;PV;;;;;;;;;;;;;;;;;;;;;;;
Uhliská;Uhliská;Levice;935 05;Pukanec;Pukanec;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Úhorná;Úhorná;Gelnica;055 66;Smolník;Smolník;801;KI;;;;;;;;;;;;;;;;;;;;;;;
Uhorská Ves;Uhorská Ves;Liptovskı Mikuláš;032 03;Liptovskı Ján;Liptovskı Ján;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Uhorské;Uhorské;Poltár;985 25;Uhorské;Uhorské;607;BC;;;;;;;;;;;;;;;;;;;;;;;
Uhrovec;Uhrovec;Bánovce nad Bebravou;956 41;Uhrovec;Uhrovec;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Uhrovec - Látkovce;Uhrovec-Látkovce;Bánovce nad Bebravou;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Ú¾any nad itavou;Ú¾any nad itavou;Nové Zámky;941 03;Ú¾any nad itavou;Ú¾any nad itavou;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Uliè;Uliè;Snina;067 67;Uliè;Uliè;709;PV;;;;;;;;;;;;;;;;;;;;;;;
Ulièské Krivé;Ulièské Krivé;Snina;067 67;Uliè;Uliè;709;PV;;;;;;;;;;;;;;;;;;;;;;;
Uloa;Uloa;Levoèa;053 71;Vyšné Repaše;Vyšné Repaše;704;PV;;;;;;;;;;;;;;;;;;;;;;;
Uòatín;Uòatín;Krupina;962 41;Bzovík;Bzovík;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Unín;Unín;Skalica;908 46;Štefanov;Štefanov;206;TA;;;;;;;;;;;;;;;;;;;;;;;
Urmince;Urmince;Topo¾èany;956 02;Urmince;Urmince;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Utekáè;Utekáè;Poltár;985 06;Utekáè;Utekáè;607;BC;;;;;;;;;;;;;;;;;;;;;;;
Uzovce;Uzovce;Sabinov;082 66;Uzovce;Uzovce;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Uzovská Panica;Uzovská Panica;Rimavská Sobota;980 22;Ve¾kı Blh;Ve¾kı Blh;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Uzovské Pek¾any;Uzovské Pek¾any;Sabinov;082 63;Jarovnice;Jarovnice;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Uzovskı Šalgov;Uzovskı Šalgov;Sabinov;082 61;Raòany;Raòany;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Vaïovce;Vaïovce;Nové Mesto n.Váhom;916 13;Kostolné;Kostolné;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Vagrinec;Vagrinec;Svidník;090 03;Ladomirová;Ladomirová;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Váhovce;Váhovce;Galanta;925 62;Váhovce;Váhovce;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Vajkovce;Vajkovce;Košice - okolie;044 43;Budimír;Budimír;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Valaliky;Valaliky;Košice - okolie;044 13;Valaliky;Valaliky;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Valaská;Valaská;Brezno;;;Pozri zoz.ulíc s PSÈ;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Valaská Belá;Valaská Belá;Prievidza;972 28;Valaská Belá;Valaská Belá;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Valaská Dubová;Valaská Dubová;Ruomberok;034 96;Valaská Dubová;Valaská Dubová;508;ZI;;;;;;;;;;;;;;;;;;;;;;;
Valaškovce (vojenskı obvod);Valaškovce (vojenskı obvod);Humenné;067 83;Kamenica nad Cirochou;Kamenica n/Cirochou;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Valèa;Valèa;Martin;038 35;Valèa;Valèa;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Valentovce;Valentovce;Medzilaborce;067 01;Radvaò nad Laborcom;Radvaò nad Laborcom;705;PV;;;;;;;;;;;;;;;;;;;;;;;
Valice;Valice;Rimavská Sobota;982 52;Niná Kaloša;Niná Kaloša;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Valkovce;Valkovce;Svidník;090 42;Okrúhle;Okrúhle;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Va¾kovòa;Va¾kovòa;Brezno;976 69;Pohorelá;Pohorelá;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Vaniškovce;Vaniškovce;Bardejov;086 41;Raslavice;Raslavice;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Vápeník;Vápeník;Svidník;090 02;Krulová;Krulová;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Varadka;Varadka;Bardejov;086 36;Niná Polianka;Niná Polianka;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Varechovce;Varechovce;Stropkov;090 23;Havaj;Havaj;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Varhaòovce;Varhaòovce;Prešov;082 05;Šarišské Bohdanovce;Šarišské Bohdanovce;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Varín;Varín;ilina;013 03;Varín;Varín;511;ZI;;;;;;;;;;;;;;;;;;;;;;;
Vasi¾ov;Vasi¾ov;Námestovo;029 51;Lokca;Lokca;507;ZI;;;;;;;;;;;;;;;;;;;;;;;
Vavreèka;Vavreèka;Námestovo;029 01;Námestovo 1;Námestovo 1;507;ZI;;;;;;;;;;;;;;;;;;;;;;;
Vavrinec;Vavrinec;Vranov nad Top¾ou;094 31;Hanušovce nad Top¾ou;Hanušovce nad Top¾ou;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Vavrišovo;Vavrišovo;Liptovskı Mikuláš;032 42;Pribylina;Pribylina;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Vaec;Vaec;Liptovskı Mikuláš;032 61;Vaec;Vaec;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Vèeláre;Vèeláre;Košice - okolie;044 02;Turòa nad Bodvou;Turòa nad Bodvou;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Vèelince;Vèelince;Rimavská Sobota;980 50;Vèelince;Vèelince;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Veèelkov;Veèelkov;Rimavská Sobota;980 34;Nová Bašta;Nová Bašta;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Vechec;Vechec;Vranov nad Top¾ou;094 12;Vechec;Vechec;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Ve¾aty;Ve¾aty;Trebišov;076 15;Ve¾aty;Ve¾aty;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Velèice;Velèice;Zlaté Moravce;951 71;S¾aany;S¾aany;407;NI;;;;;;;;;;;;;;;;;;;;;;;
Velièná;Velièná;Dolnı Kubín;027 54;Velièná;Velièná;503;ZI;;;;;;;;;;;;;;;;;;;;;;;
Velièná - Revišné;Revišné;Dolnı Kubín;027 54;Velièná;Velièná;503;ZI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Èalomija;Ve¾ká Èalomija;Ve¾kı Krtíš;991 09;Ve¾ká Èalomija;Ve¾ká Èalomija;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Èausa;Ve¾ká Èausa;Prievidza;971 01;Prievidza 1;Prievidza 1;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Èierna;Ve¾ká Èierna;ilina;015 01;Rajec nad Rajèiankou;Rajec nad Rajèiankou;511;ZI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Dolina;Ve¾ká Dolina;Nitra;951 15;Mojmírovce;Mojmírovce;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Franková;Ve¾ká Franková;Kemarok;059 78;Ve¾ká Franková;Ve¾ká Franková;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Hradná;Ve¾ká Hradná;Trenèín;913 24;Svinná;Svinná;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Ida;Ve¾ká Ida;Košice - okolie;044 55;Ve¾ká Ida;Ve¾ká Ida;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Lehota;Ve¾ká Lehota;arnovica;966 41;Ve¾ká Lehota pri Novej Bani;V.Lehota pri N.Bani;612;BC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Lesná;Ve¾ká Lesná;Stará ¼ubovòa;065 34;Ve¾kı Lipník;Ve¾kı Lipník;710;PV;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Lodina;Ve¾ká Lodina;Košice - okolie;044 81;Kysak;Kysak;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Lomnica;Ve¾ká Lomnica;Kemarok;059 52;Ve¾ká Lomnica;Ve¾ká Lomnica;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Lúka;Ve¾ká Lúka;Zvolen;962 31;Sliaè;Sliaè;611;BC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Maèa;Ve¾ká Maèa;Galanta;925 32;Ve¾ká Maèa;Ve¾ká Maèa;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká nad Ip¾om;Ve¾ká nad Ip¾om;Luèenec;985 32;Ve¾ká nad Ip¾om;Ve¾ká nad Ip¾om;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Paka;Ve¾ká Paka;Dunajská Streda;930 51;Ve¾ká Paka;Ve¾ká Paka;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Tàòa;Ve¾ká Tàòa;Trebišov;076 82;Ve¾ká Tàòa;Ve¾ká Tàòa;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Ves;Ve¾ká Ves;Poltár;985 01;Kalinovo;Kalinovo;607;BC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ká Ves nad Ip¾om;Ve¾ká Ves nad Ip¾om;Ve¾kı Krtíš;991 10;Ve¾ká Ves nad Ip¾om;Ve¾ká Ves nad Ip¾om;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Bierovce;Ve¾ké Bierovce;Trenèín;913 11;Trenèianske Stankovce;Trenè.Stankovce;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Blahovo;Ve¾ké Blahovo;Dunajská Streda;930 01;Ve¾ké Blahovo;Ve¾ké Blahovo;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Borové;Ve¾ké Borové;Liptovskı Mikuláš;027 32;Zuberec;Zuberec;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Dravce;Ve¾ké Dravce;Luèenec;985 42;Ve¾ké Dravce;Ve¾ké Dravce;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Drkovce;Ve¾ké Drkovce;Bánovce nad Bebravou;956 54;Ve¾ké Drkovce;Ve¾ké Drkovce;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Dvorany;Ve¾ké Dvorany;Topo¾èany;956 01;Bojná;Bojná;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Dvorníky;Ve¾ké Dvorníky;Dunajská Streda;929 01;Dunajská Streda 1;Dunajská Streda 1;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Hoste;Ve¾ké Hoste;Bánovce nad Bebravou;956 38;Šišov;Šišov;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Chlievany;Ve¾ké Chlievany;Bánovce nad Bebravou;956 55;Ve¾ké Chlievany;Ve¾ké Chlievany;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Chyndice;Ve¾ké Chyndice;Nitra;951 54;Vráble;Vráble;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Kapušany;Ve¾ké Kapušany;Michalovce;079 01;Ve¾ké Kapušany;Ve¾ké Kapušany;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Kosihy;Ve¾ké Kosihy;Komárno;946 21;Ve¾ké Kosihy;Ve¾ké Kosihy;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Kosto¾any;Ve¾ké Kosto¾any;Piešany;922 07;Ve¾ké Kosto¾any;Ve¾ké Kosto¾any;204;TA;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Kozmálovce;Ve¾ké Kozmálovce;Levice;935 21;Tlmaèe 1;Tlmaèe 1;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Kršteòany;Ve¾ké Kršteòany;Partizánske;958 03;Partizánske 1;Partizánske 1;305;TC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Leváre;Ve¾ké Leváre;Malacky;908 73;Ve¾ké Leváre;Ve¾ké Leváre;106;BL;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Lovce;Ve¾ké Lovce;Nové Zámky;941 42;Ve¾ké Lovce;Ve¾ké Lovce;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Ludince;Ve¾ké Ludince;Levice;935 65;Ve¾ké Ludince;Ve¾ké Ludince;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Orvište;Ve¾ké Orvište;Piešany;922 01;Ostrov pri Piešanoch;Ostrov pri Piešan.;204;TA;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Ozorovce;Ve¾ké Ozorovce;Trebišov;078 01;Seèovce;Seèovce;811;KI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Pole;Ve¾ké Pole;arnovica;966 74;Ve¾ké Pole;Ve¾ké Pole;612;BC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Raškovce;Ve¾ké Raškovce;Michalovce;076 75;Oborín;Oborín;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Revištia;Ve¾ké Revištia;Sobrance;072 43;Sobrance;Sobrance;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Ripòany;Ve¾ké Ripòany;Topo¾èany;956 07;Ve¾ké Ripòany;Ve¾ké Ripòany;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Rovné;Ve¾ké Rovné;Bytèa;013 62;Ve¾ké Rovné;Ve¾ké Rovné;501;ZI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Slemence;Ve¾ké Slemence;Michalovce;076 77;Ruská;Ruská;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Straciny;Ve¾ké Straciny;Ve¾kı Krtíš;990 01;Ve¾kı Krtíš;Ve¾kı Krtíš;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Teriakovce;Ve¾ké Teriakovce;Rimavská Sobota;;;viï detail SÈ;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Ve¾ké Trakany;Ve¾ké Trakany;Trebišov;076 42;Ve¾ké Trakany;Ve¾ké Trakany;811;KI;;;;;;;;;;;;;;;;;;;;;;;
